state,total_negocios,total_categorias
OTHER,91,214
NC,16182,1804
AZ,60642,2281
QC,10210,1212
NV,38986,2201
IL,2028,984
ON,36540,1765
AB,8661,1346
PA,12346,1677
WI,5517,1446
SC,1325,806
OH,16341,1759
